wi_sample	seq_sample	total_sites	concordant	discordant	concordance_rate
EG6260	ECA1657	4386	2115	2271	0.482216142270862
EG6260	ECA2115	1169	576	593	0.492728828058169
EG6260	ECA2299	1311	551	760	0.420289855072464
EG6260	ECA2667	1925	871	1054	0.452467532467533
EG6260	EG6260	3058	3043	15	0.99509483322433
EG6260	EG6267	2009	913	1096	0.454454952712792
EG6260	EG6271	2602	1630	972	0.626441199077633
EG6260	JU1346	863	371	492	0.429895712630359
EG6260	JU1348	1383	642	741	0.464208242950109
EG6260	JU2472	4553	2050	2503	0.450252580716011
EG6260	NIC1052	2191	990	1201	0.4518484710178
EG6260	NIC1645	2898	1354	1544	0.467218771566598
EG6260	NIC1667	2488	1197	1291	0.481109324758842
EG6260	NIC827	1405	655	750	0.466192170818505
EG6260	NIC828	1459	644	815	0.441398217957505
EG6260	PE887	2694	1313	1381	0.487379361544172
EG6260	QG2908	1694	812	882	0.479338842975207
EG6260	QG4097	3231	1341	1890	0.415041782729805
EG6260	QG4233	2327	1175	1152	0.504941985388913
EG6260	QX1410	4485	0	4485	0
EG6260	VT847	1055	436	619	0.413270142180095
EG6267	AF16	2610	1698	912	0.650574712643678
EG6267	BRC20232	3178	1494	1684	0.470106985525488
EG6267	ECA1657	4195	2257	1938	0.538021454112038
EG6267	ECA2115	1145	604	541	0.527510917030568
EG6267	ECA2299	1222	518	704	0.423895253682488
EG6267	ECA2667	1847	924	923	0.500270709258257
EG6267	EG6260	2838	1359	1479	0.478858350951374
EG6267	EG6267	2099	2090	9	0.995712243925679
EG6267	EG6271	2463	1119	1344	0.454323995127893
EG6267	JU1346	804	340	464	0.422885572139304
EG6267	JU1348	1448	640	808	0.441988950276243
EG6267	JU2472	4535	2610	1925	0.575523704520397
EG6267	NIC1052	2189	894	1295	0.408405664687072
EG6267	NIC1645	2820	1295	1525	0.459219858156028
EG6267	NIC1667	2486	1186	1300	0.477071600965406
EG6267	NIC827	1349	600	749	0.44477390659748
EG6267	NIC828	1487	688	799	0.462676529926026
EG6267	PE887	2579	1091	1488	0.423032183016673
EG6267	QG2908	1746	833	913	0.47709049255441
EG6267	QG4097	3205	1676	1529	0.522932917316693
EG6267	QG4233	2226	1114	1112	0.500449236298293
EG6267	QX1410	4457	3	4454	0.000673098496746691
EG6267	VT847	1053	599	454	0.568850902184236
EG6271	AF16	2852	1100	1752	0.385694249649369
EG6271	BRC20232	3377	1742	1635	0.5158424637252
EG6271	ECA1657	4658	2221	2437	0.476814083297553
EG6271	ECA2115	1255	570	685	0.454183266932271
EG6271	ECA2299	1357	603	754	0.444362564480472
EG6271	ECA2667	2073	782	1291	0.377231066087795
EG6271	EG6260	3111	1783	1328	0.573127611700418
EG6271	EG6267	2206	914	1292	0.414324569356301
EG6271	EG6271	3182	3170	12	0.996228786926461
EG6271	JU1346	890	381	509	0.428089887640449
EG6271	JU1348	1565	780	785	0.498402555910543
EG6271	JU2472	4884	2003	2881	0.41011466011466
EG6271	NIC1052	2422	1148	1274	0.473988439306358
EG6271	NIC1645	3010	1506	1504	0.500332225913621
EG6271	NIC1667	2695	1413	1282	0.52430426716141
EG6271	NIC827	1417	701	716	0.494707127734651
EG6271	NIC828	1546	761	785	0.492238033635188
